Disease/Symptoms,Remedy,Severity,Preparation_Time
Menstrual cramps,Ajwain tea and warm castor oil massage,Medium,12
Headache,Peppermint oil massage and warm water hydration,Low,5
PCOS,Cinnamon tea and flax seeds,High,10
Migraine,Lavender oil massage and Brahmi tea,High,10
Fever,Tulsi tea and giloy juice,High,15
Fever,Tulsi tea and giloy juice,High,15
Asthma,Black pepper with honey and steam inhalation,High,15
Joint pain,Turmeric milk and sesame oil massage,Medium,15
Hair fall,Bhringraj oil and hibiscus paste,Low,10
Low blood pressure,Rock salt water and pomegranate juice,Low,6
Sore throat,Saltwater gargle and honey-lemon tea,Low,3
Hair fall,Bhringraj oil and hibiscus paste,Low,10
Thyroid imbalance,Ashwagandha and seaweed supplements,Medium,8
Constipation,Isabgol husk and warm lemon water,Medium,12
Constipation,Isabgol husk and warm lemon water,Medium,12
Headache,Peppermint oil massage and warm water hydration,Low,5
Thyroid imbalance,Ashwagandha and seaweed supplements,Medium,8
Thyroid imbalance,Ashwagandha and seaweed supplements,Medium,8
Fever,Tulsi tea and giloy juice,High,15
High blood pressure,Garlic water and beetroot juice,Medium,8
High blood pressure,Garlic water and beetroot juice,Medium,8
Sore throat,Saltwater gargle and honey-lemon tea,Low,3
Stress,Ashwagandha tea and meditation,Medium,20
Menstrual cramps,Ajwain tea and warm castor oil massage,Medium,12
Low blood pressure,Rock salt water and pomegranate juice,Low,6
High blood pressure,Garlic water and beetroot juice,Medium,8
Muscle pain,Epsom salt bath and turmeric milk,High,25
Weak immunity,Chyawanprash and amla juice,High,5
Diabetes,Bitter gourd juice and fenugreek seeds,High,10
Skin allergies,Neem paste and aloe vera gel,Medium,20
Muscle pain,Epsom salt bath and turmeric milk,High,25
Fever,Tulsi tea and giloy juice,High,15
Muscle pain,Epsom salt bath and turmeric milk,High,25
Joint pain,Turmeric milk and sesame oil massage,Medium,15
Diabetes,Bitter gourd juice and fenugreek seeds,High,10
Joint pain,Turmeric milk and sesame oil massage,Medium,15
Skin allergies,Neem paste and aloe vera gel,Medium,20
Sore throat,Saltwater gargle and honey-lemon tea,Low,3
Fever,Tulsi tea and giloy juice,High,15
Migraine,Lavender oil massage and Brahmi tea,High,10
Weak immunity,Chyawanprash and amla juice,High,5
Obesity,Lemon honey water and trikatu churna,High,7
Muscle pain,Epsom salt bath and turmeric milk,High,25
Fever,Tulsi tea and giloy juice,High,15
Migraine,Lavender oil massage and Brahmi tea,High,10
Hair fall,Bhringraj oil and hibiscus paste,Low,10
Fever,Tulsi tea and giloy juice,High,15
Menstrual cramps,Ajwain tea and warm castor oil massage,Medium,12
High blood pressure,Garlic water and beetroot juice,Medium,8
Fever,Tulsi tea and giloy juice,High,15
Low blood pressure,Rock salt water and pomegranate juice,Low,6
Migraine,Lavender oil massage and Brahmi tea,High,10
Nausea,Ginger chew and peppermint tea,Low,2
Nausea,Ginger chew and peppermint tea,Low,2
Cough and cold,Ginger tea with honey and turmeric milk,Medium,10
